State,Population
CA,39510000
TX,28995881
FL,21477737
IL,12671821
GA,10617423
WI,5822434
OH,11689100
TN,6833174
MI,9986857
NC,10488084
PA,12801989
NJ,8882190
NY,19453561
NYC,
AZ,7278717
IN,6732219
MN,5639632
MO,6137428
AL,4903185
VA,8535519
LA,4648794
IA,3155070
MA,6949503
SC,5148714
CO,5758736
OK,3956971
MD,6045680
UT,3205958
KY,4467673
WA,7614893
AR,3017825
MS,2976149
KS,2913314
NV,3080156
NE,1934408
CT,3565287
ID,1787065
NM,2096829
ND,762062
SD,884659
PR,
OR,4217737
MT,1068778
RI,1059361
WV,1792147
DE,973764
WY,578759
AK,731545
DC,705749
NH,1359711
HI,1415872
ME,1344212
GU,
VT,623989
VI,
MP,
RMI,
AS,
FSM,
PW,
